collection||Hisn al-Muslim
hadith|196|<text>Subhānaka Allāhumma wa biḥamdik, ash-hadu an lā ilāha illā ant, astaghfiruka wa atību ilayk.\n\nGlory is to You, O Allah, and praise is to You. I bear witness that there is none worthy of worship but You. I seek Your forgiveness and repent to You.\n\nReference:\n\nAbu Dawud, Ibn Majah, At-Tirmidhi and An-Nasa'i. See also Al-Albani, Sahih At-Tirmidhi 3/ 153. Aishah (RA) said: "Allah's Messenger (ﷺ) did not sit in a gathering, and did not recite the Qur'an, and did not perform any prayer without concluding by saying ... (then she quoted the above)." This was reported by An-Nasa'i in 'Amalul-Yawm wal-Laylah (no.308), and Dr. Farooq Hamadah graded it authentic in his checking of the same book, p. 273. See also Ahmad 6/77</text>
chapter||Returning a supplication of forgiveness
hadith|197|<text>Walaka\n\nAnd you.\n\nReference:\n\nAhmad 5/82, and An-Nasa'i in 'Amalul-Yawm wal-Laylah p. 218, with checking by Dr. Farooq Hamadah.</text>
chapter||To one who does you a favour
hadith|198|<text>Jazākallāhu khayra.\n\nMay Allah reward you with good.\n\nReference:\n\nAt-Tirmidhi (no. 2035). See also Al-Albani, Sahih At-Tirmidhi 2/200 and Sahihul-Jami' (no. 6244).</text>
chapter||Protection from the Dajjal
hadith|199|<text>--\n\nWhoever memorizes ten 'Ayat (Verses) from the beginning of Surat Al-Kahf, will be protected from the False Messiah 1 if he recites in every prayer after the final Tashahhud before ending the prayer, seeking the protection of Allah from the trials of the False Messiah.\n\nReference:\n\n1 Muslim 1/555, another version mentions the last ten 'Ayat, Muslim 1/556. 2 See invocations no. 55 and 56 of this book.</text>
chapter||To one who pronounces his love for you, for Allah&#146;s sake
hadith|200|<text>Aḥabbaka ‘lladhī aḥbabtanī lah.\n\nMay He for Whose sake you love me, love you.\n\nReference:\n\nAbu Dawud 4/333. Al-Albani graded it good in Sahih Abu Dawud 3/965.</text>
chapter||To one who has offered you some of his wealth
hadith|201|<text>Bārakallāhu laka fī ahlika wa mālik.\n\nMay Allah bless you in your family and your property.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/88.</text>
chapter||To the debtor when his debt is settled
hadith|202|<text>Bārakallāhu laka fī ahlika wa mālik, innamā jazā'us-salafi ‘l-ḥamdu wa‘l-adā'.\n\nMay Allah bless you in your family and your wealth, surely the reward for a loan is praise and returning (what was borrowed).\n\nReference:\n\nAn-Nasa'i, 'Amalul-Yawm wal-Laylahp. 300, Ibn Majah 2/809. See also Al-Albani, Sahih Ibn Majah2/55.</text>
chapter||For fear of shirk
hadith|203|<text>Allāhumma innī a`ūdhu bika an ushrika bika wa anā a`lam, wa astaghfiruka limā lā a`lam.\n\nO Allah, I seek refuge in You lest I associate anything with You knowingly, and I seek Your forgiveness for what I know not.\n\nReference:\n\nAhmad 4/403. See also Al-Albani, Sahihul-Jami' As-Saghir 3/233 and Sahihut-Targhib wat- Tarhib 1/19.</text>
chapter||To someone who says "May Allah bless you"
hadith|204|<text>Wafīka bārakallāh.\n\nAnd may Allah bless you.\n\nReference:\n\nIbn As-Sunni, p. 138, (no. 278). See also Ibn Al-Qayyim, Al-Wdbil As-Sayyib, p. 304, with checking by Basheer Muhammad ?Uyoon.</text>
chapter||The scorn of ascribing things to evil omens
hadith|205|<text>Allāhumma lā ṭayra illā ṭayruk, wa lā khayra illā khayruk, wa lā ilāha ghayruk.\n\nO Allah there is no portent other than Your portent, no goodness other than Your goodness, and none worthy of worship other than You.\n\nReference:\n\nAhmad 2/220, Ibn As-Sunni (no. 292). See also Al-Albani, Silsilatul-'Ahadlth As-Sahihah 3/54, (no. 1065). As for bodings of good, these used to please the Prophet (ﷺ) and so when he heard good words from someone, he used to say: "We have taken from you a good portent from your mouth," Abu Dawud, Ahmad. See also Al-Albani, Silsilatul-'Ahadith As-Sahihah 2/363, and it is with Abu Ash-Shaikh Al-Asfahani in 'Akhlaqun-Nabiyy, pg. 270.</text>
chapter||When mounting an animal or any means of transport
hadith|206|<text>Bismillāh, walḥamdulillāh. Subḥāna ‘lladhī sakhkhara lanā hādhā wa mā kunnā lahu muqrinīn. Wa innā ilā Rabbinā lamunqalibūn. Alḥamdulillāh, alḥamdulillāh, alḥamdulillāh, Allāhu Akbar, Allāhu Akbar, Allāhu Akbar, Subḥānaka ‘llāhumma innī ẓalamtu nafsī, faghfir lī, fa innahu lā yaghfirudh-dhunūba illā ant.\n\nWith the Name of Allah. Praise is to Allah. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord, we are returning. Praise is to Allah. Praise is to Allah. Praise is to Allah. Allah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to You. O Allah, I have wronged my own soul. Forgive me, for surely none forgives sins but You.\n\nReference:\n\nAbu Dawud 3/34, At-Tirmidhi 5/501. See also Al-Albani, Sahih At-Tirmidhi3/156.</text>
chapter||For travel
hadith|207|<text>Allāhu Akbar, Allāhu Akbar, Allāhu Akbar, Subḥāna ‘l-ladhi sakhkhara lanā hādhā wa mā kunnā lahu muqrinīn. Wa innā ilā Rabbinā lamunqalibūn. Allāhumma innā nas'aluka fī safarinā hādha ‘l-birra wat-taqwā, Wa mina ‘l-`amali mā tarḍā, Allāhumma hawwin `alaynā safaranā hādhā waṭwi `annā bu`dah, Allāhumma antas-sāḥibu fis-safar, wa ‘l-khalīfatu fil-ahl, Allāhumma innī a`ūdhu bika min wa`thā'is-safar, wa ka'ābati ‘l-manẓar, wa sū'il-munqalabi fil-māli wa ‘l-ahl. (Upon returning recite the same again adding): Ā’ibūna, tā'ibūna, `ābidūn, Li Rabbinā ḥāmidūn.\n\nAllah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord we are returning. O Allah, we ask You on this our journey for goodness and piety, and for works that are pleasing to You. O Allah, lighten this journey for us and make its distance easy for us. O Allah, You are our Companion on the road and the One in Whose care we leave our family. O Allah, I seek refuge in You from this journey's hardships, and from the wicked sights in store and from finding our family and property in misfortune upon returning. (Upon returning recite the same again adding :) We return repentant to our Lord, worshipping our Lord, and praising our Lord.\n\nReference:\n\nMuslim 2/978.</text>
chapter||Upon entering a town or village
hadith|208|<text>Allāhumma Rabbas-samāwātis-sab`i wa mā aẓlaln, Wa Rabba ‘l-arāḍīnas-sab`i wa mā aqlaln, wa Rabbash-shayāṭīni wa mā aḍlaln, wa Rabbar-riyāḥi wa mā dharayn. As'aluka khayra hādhihi ‘l-qaryah, wa khayra ahlihā, wa khayra māfīhā, wa a`ūdhu bika min sharrihā, wa sharri ahlihā, wa sharri mā fīhā.\n\nO Allah, Lord of the seven heavens and all they overshadow, Lord of the seven worlds and all they uphold, Lord of the devils and all they lead astray, Lord of the winds and all they scatter. I ask You for the goodness of this town, and for the goodness of its people, and for the goodness it contains. I seek refuge in You from its evil, from the evil of its people, and from the evil it contains.\n\nReference:\n\nAl-Hakim who graded it authentic and Ath-Tfaahabi agreed 2/100, and Ibn As-Sunni (no. 524). Al-Hafidh graded it good in his checking of Al-'Athkdr 5/154. Ibn Baz said in Tuhfatul-'Akhydr p. 37, that An-Nasa'i recorded it with a good chain of narration.</text>
chapter||When entering the market
hadith|209|<text>Lā ilāha illallāh waḥdahu lā sharīka lah, Lahu ‘l-mulku wa lahu ‘l-ḥamd, Yuḥyī wa yumīt, wa huwa ḥayyun lā yamūt, Biyadihi ‘l-khayr, wa huwa `alā kulli shay'in Qadīr.\n\nNone has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise. He brings life and He causes death, and He is living and does not die. In His Hand is all good, and He is Able to do all things.\n\nReference:\n\nAt-Tirmidhi 5/291, and Al-Hakim 1/538. Al-Albani graded it good in Sahih Ibn Majah 2/21 and Sahih At-Tirmidhi 3/152.</text>
chapter||When the mounted animal (or mean of transport) stumbles
hadith|210|<text>Bismillāh.\n\nWith the Name of Allah.\n\nReference:\n\nAbu Dawud 4/296. Al-Albani graded it authentic in Sahih Abu Dawud 3/941.</text>
chapter||Supplication of the traveller for the resident
hadith|211|<text>Astawdi`ukumu ‘llāha ‘l-ladhi lā taḍī`u wadā'i`uh.\n\nI place you in the trust of Allah, whose trust is never misplaced.\n\nReference:\n\nAhmad 2/403, Ibn Majah 2/943. See also Al-Albani, Sahih Ibn Majah 2/133.</text>
chapter||Supplication of the resident for the traveller
hadith|212|<text>Astawdi`ullāha dīnak, wa amānatak, wa khawātīma `amalik.\n\nI leave your religion in the care of Allah, as well as your safety, and the last of your deeds.\n\nReference:\n\nAhmad 2/7, At-Tirmidhi 5/499. See also Al-Albani, Sahih At-Tirmidhi 2/155.</text>
hadith|213|<text>Zawwadaka ‘llāhut-taqwā, wa ghafara dhanbak, wa yassara laka ‘l-khayra ḥaythu mā kunt.\n\nMay Allah give you piety as your provision, forgive your sins, and make goodness easy for you wherever you are.\n\nReference:\n\nAt-Tirmidhi. See Al-Albani, Sahih At-Tirmidhi, 3/155.</text>
chapter||Takbir and Tasbih during travel
hadith|214|<text>--\n\nJabir (ra), said: Whenever we went up a hill we would say Allāhu Akbar (Allah is the Most Great) and when we descended we would say Subḥānallāh (Glory is to Allah).\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/135.</text>
chapter||Prayer of the traveller as dawn approaches
hadith|215|<text>Sami`a sāmi`un biḥamdillāhi wa ḥusni balā'ihi `alaynā. Rabbanā ṣāḥibnā, wa afḍil `alaynā, `ā'idhan billāhi minan-nār.\n\nHe Who listens has heard that we praise Allah for the good things He gives us. Our Lord, be with us and bestow Your favor upon us. I seek the protection of Allah from the Fire.\n\nReference:\n\nMuslim 4/2086, the meaning of sami`a sāmi`un (who listens has heard) is that 'a witness has witnessed our praise of Allah due to His blessings and favor upon us.' It could also be read samma`a sāmi`un, in which case it means 'one who has heard this statement of mine will convey it to another and he will say it as well.' This is due to the attention given to the Thikr (remembrance of Allah) and supplications made during the early morning hours. The meaning of his saying 'Our Lord, be with us and bestow Your favor upon us' is: 'Our Lord, protect us and guard us. Bless us with Your numerous bounties, and avert from us every evil.' See An-Nawawi, Sharh Sahih Muslim 17/39.</text>
chapter||Stopping or lodging somewhere in travel and otherwise
hadith|216|<text>A`ūdhu bikalimāti ‘llāhit-tāmmāti min sharri mā khalaq.\n\nI seek refuge in the Perfect Words of Allah from the evil of what He has created.\n\nReference:\n\nMuslim 4/2080.</text>
chapter||While returning from travel
hadith|217|<text>From every elevated point say Allāhu Akbar (three times), and then recite: Lā ilāha illallāh waḥdahu lā sharīka lah, lahu ‘l-mulku, walahu ‘l-ḥamd, wa Huwa `alā kulli shay'in Qadīr, ā'ibūna, tā'ibūna,`ābidūn, li Rabbinā ḥāmidūn, sadaqallāhu wa`dah, wa nasara `abdah, wa hazama ‘l-'aḥzāba waḥdah.\n\nFrom every elevated point say Allāhu Akbar (Allah is the Most Great) three times and then recite: None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise, and He is Able to do all things. We return repentant to our Lord, worshipping our Lord, and praising our Lord. He fulfilled His Promise, He aided His slave, and He alone defeated the Confederates.\n\nReference:\n\nBukhari 7/163, Muslim 2/980. The Prophet (ﷺ) used to say this when returning from a campaign or from Hajj.</text>
chapter||What to say upon receiving pleasing or displeasing news
hadith|218|<text>When something happened that pleased him, the Prophet (ﷺ) used to say: Alḥamdu lillāhi ‘lladhi bi ni`matihi tatimmuṣ-ṣāliḥāt. And if something happened that displeased him, he used to say: Alḥamdu lillāhi `alā kulli ḥāl.\n\nWhen something happened that pleased him, the Prophet (ﷺ) used to say: Praise is to Allah Who by His blessings all good things are perfected. And if something happened that displeased him, he used to say: Praise is to Allah in all circumstances.\n\nReference:\n\nIbn As-Sunni, 'Amalul-Yawm wal-Laylah, and Al-Hakim who graded it authentic 1/499. See also Al-Albani, Sahihul-Jami' As-Saghir 4/201.</text>
chapter||Excellence of sending prayers upon the Prophet (ﷺ)
hadith|219|<text>--\n\nThe Prophet (ﷺ) said: "Whoever prays for Allah's blessings upon me once, will be blessed for it by Allah ten times."\n\nReference:\n\nMuslim 1/288.</text>
hadith|220|<text>--\n\nThe Prophet (ﷺ) said: "Do not make my grave a place of ritual celebration, but pray for Allah's blessings upon me, for your blessings reach me from wherever you are.\n\nReference:\n\nAbu Dawud 2/218, Ahmad 2/367. Al-Albani graded it authentic in Sahih Abu Dawud 2/383.</text>
hadith|221|<text>--\n\nThe Prophet (ﷺ) said: "The miser is the one in whose presence I am mentioned yet does not pray for Allah's blessings upon me."\n\nReference:\n\nAt-Tirmidhi 5/551 and others. See also Al-Albani, Sahih At-Tirmidhi 3/177 and Sahihul-Jarai' As-Saghir 3/25.</text>
hadith|222|<text>--\n\nThe Prophet (ﷺ) said: "Indeed Allah has angels who roam the earth and they convey to me the greetings (or prayers of peace) of my Ummah (nation)."\n\nReference:\n\nAn-Nasa'i, Al-Hakim 2/421. Al-Albani graded it authentic in Sahih An-Nasa'i 1/274.</text>
hadith|223|<text>--\n\nThe Prophet (ﷺ) said: "No one sends greetings (or prayers of peace) upon me but Allah returns my soul to me so that I may return his greetings."\n\nReference:\n\nAbu Dawud (no. 2041). Al-Albani graded it good in Sahih Abu Dawud 1/383.</text>
chapter||Excellence of spreading the Islamic greeting
hadith|224|<text>--\n\nThe Prophet (ﷺ) said: "You shall not enter Paradise until you believe, and you have not believed until you love one another. Shall I tell you of something you can do to make you love one another? Spread the greetings of Salam (peace) amongst yourselves (i.e. between each other).\n\nReference:\n\nMuslim 1/74 and others.</text>
hadith|225|<text>Three characteristics, whoever combines them, has completed his faith: to be just, to spread greetings to all people and to spend (charitably) out of the little you have.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/82 as a statement of the Companion 'Ammar (RA).</text>
hadith|226|<text>--\n\n`Abdullah bin `Umar (RA) said: A man asked the Prophet (ﷺ), "What is the best act of Islam?" He said, "To feed others and to give greetings of Salam (peace) to those whom you know and to those whom you do not know. "\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/55, Muslim 1/65.</text>
chapter||Returning a greeting to a disbeliever
hadith|227|<text>If one of the People of the Scripture (i.e. Christians and Jews) greets you, saying As-Salāmu `alaykum, then say (to him): Wa `alaykum.\n\nIf one of the People of the Scripture (i.e. Christians and Jews) greets you saying As-Salaamu `alaykum, then say (to him): And upon you .\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/42, Muslim 4/1705.</text>
chapter||Upon hearing a rooster crow or the braying of a donkey
hadith|228|<text>--\n\nWhen you hear the cock's crow, ask Allah for His favor upon you for surely it has seen an angel. When you hear the bray of a donkey, seek refuge in Allah from Satan, for surely it has seen a devil.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/350, Muslim 4/2092.</text>
chapter||Upon hearing the barking of dogs at night
hadith|229|<text>When you hear a dog barking or a donkey braying in the night, then seek refuge in Allah from them, for surely they have seen what you see not.\n\nReference:\n\nAbu Dawud 4/327, Ahmad 3/306. Al-Albani graded it authentic in Sahih Abu Dawud 3/961.</text>
chapter||For one you have insulted
hadith|230|<text>Allāhumma fa'ayyumā mu'minin sababtuhu faj`al dhālika lahu qurbatan ilayka yawma ‘l-qiyāmah.\n\nO Allah, whomever of the believers I have abused, give him the reward of a sacrificial slaughter for it on the Day of Resurrection.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/171, Muslim 4/2007. The wording in Muslim's report is: 'make it a purification for him and a source of mercy.</text>
chapter||The etiquette of praising a fellow Muslim
hadith|231|<text>If any of you praises his companion then let him say: Aḥsibu fulānan wallāhu ḥasībuh wa lā uzakkī `alallāhi aḥada.\n\nIf any of you praises his companion then let him say: I consider (such and such a person), and Allah is his Assessor, (meaning: and I cannot claim anyone to be pious before Allah) if you know of this (good character trait in the person) to be such and such (saying what he thinks is praiseworthy in that person).\n\nReference:\n\nMuslim 4/2296.</text>
chapter||For the one that have been praised
hadith|232|<text>Allāhumma lā tu'ākhidhnī bimā yaqūlūn, waghfir lī mā lā ya`lamūn [waj`alnī khayran mimmā yaẓunnūn].\n\nO Allah, do not call me to account for what they say and forgive me for what they have no knowledge of [and make me better than they imagine].\n\nReference:\n\nAl-Bukhari, Al-'Adabul-Mufrad no. 761. See Al-Albani, Sahih Al-'Adabul-Mufrad (no. 585). The portion between brackets if from Al-Bayhaqi, Shu'ab Al-Iman 4/228, and comes another account.</text>
chapter||The Talbiya for the one doing Hajj or 'Umrah
hadith|233|<text>Labbayk-Allāhumma labbayk, labbayka lā sharīka laka labbayk, inna ‘l-ḥamda, wanni`mata, laka wa ‘l-mulk, lā sharīka lak.\n\nI am here at Your service, O Allah, I am here at Your service. I am here at Your service, You have no partner, I am here at Your service. Surely the praise, and blessings are Yours, and the dominion. You have no partner.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/408, Muslim 2/841.</text>
chapter||The Takbîr passing the black stone
hadith|234|<text>--\n\nThe Prophet (ﷺ) performed Tawaf riding a camel. Every time he passed the corner (containing the Black Stone), he would point to it with something that he was holding and say: Allāhu Akbar (Allah is the Most Great)!\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/476. See also 472. The 'something' that was referred to in this Hadith was a cane.</text>
chapter||Between the Yemeni corner and the black stone
hadith|235|<text>Rabbanā ātinā fid-dunyā ḥasanah wa fi ‘l-ākhirati ḥasanah wa qinā `adhāban-nār.\n\nOur Lord, grant us the good things in this world, and the good things in the next life, and save us from the punishment of the Fire.\n\nReference:\n\nAbu Dawud 2/179, Ahmad 3/411, Al-Baghawi, Sharhus-Sunnah 7/128. Al-Albani graded it good in Sahih Abu Dawud 1/354. The Ayat is from Surat Al-Baqarah, 2:201.</text>
chapter||When at Mount Safa and Mount Marwah
hadith|236|<text>Whenever the Prophet (ﷺ) approached Mount Safa, he would recite: Innaṣ-Ṣafā wa ‘l-Marwata min sha`ā'irillāh. Abda'u bimā bada'allāhu bih. He began (his Sa`y) at Mount Safa climbing it, until he could see the House. He then faced the Qiblah repeating the words: Lā ilāha illallāh, Allāhu Akbar Then he said: Lā ilāha 'illallāh waḥdahu lā sharīka lah, Lahu ‘l-mulku wa lahu ‘l-ḥamd wa Huwa `alā kulli shay'in Qadīr, lā 'ilāha illallāhu waḥdahu, anjaza wa`dahu, wa naṣara `abdahu, wa hazama ‘l 'aḥzāba waḥdah. Then he would ask Allah for what he liked, repeating the same three times. He did at Mount Marwah as he did at Mount Safa.\n\nWhenever the Prophet (ﷺ) approached Mount Safa, he would recite: Surely Safa and Marwah are among the signs of Allah. I begin by that which Allah began. He began (his Sa'y) at Mount Safa climbing it until he could see the House. He then faced the Qiblah repeating the words: There is none worthy of worship but Allah, and Allah is the Most Great. Then he said: None has the right to be worshipped but Allah alone, Who has no partner, His is the dominion and His is the praise, and He is Able to do all things. None has the right to be worshipped but Allah alone, He fulfilled His Promise, He aided His slave, and He alone defeated Confederates. Then he would ask Allah for what he liked, repeating the same thing like this three times. He did at Mount Marwah as he did at Mount Safa.\n\nReference:\n\nMuslim 2/888.</text>
chapter||The Day of 'Arafah
hadith|237|<text>The Prophet (ﷺ) said: The best invocation is that of the Day of Arafat, and the best that anyone can say is what I and the Prophets before me have said: Lā 'ilāha 'illallāhu waḥdahu lā sharīka lahu, lahul-mulku wa lahul-ḥamdu wa huwa `alā kulli shay'in qadīr.\n\nNone has the right to be worshipped but Allah Alone, Who has no partner. His is the dominion and His is the praise, and He is Able to do all things.\n\nReference:\n\nAt-Tirmidhi. Al-Albani graded it good in Sahih At-Tirmidhi 3/184, and also Silsilatul-'Ahadith As-Sahihah 4/6.</text>
chapter||Remembrance at Muzdalifa
hadith|238|<text>'He (ﷺ) rode Al-Qaswa until he reached Al-MashAAar Al-Haram, he then faced the qiblah, supplicated to Allah, and extoled His greatness and oneness. He stood until the sun shone but left before it rose.'\n\nReference:\n\nMuslim 2/891.</text>
chapter||Takbir when throwing each pebble at the Jamarat
hadith|239|<text>--\n\nThe Prophet (ﷺ) said Allāhu Akbar (Allah is the Most Great) with each pebble he threw at the three pillars. Then he went forward, stood facing the Qiblah, and raised his hands and called upon Allah. That was after (stoning) the first and second pillars. As for the third, he stoned it and called out Allāhu Akbar with every pebble he threw, but when he was finished he left without standing at it (for supplications).\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/581, 3, 4, and Muslim</text>
chapter||At times of amazement and that which delights
hadith|240|<text>Subḥānallāh!\n\n(Glory is to Allah).\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/210, 390, 414 and Muslim 4/1857.</text>
hadith|241|<text>Allāhu Akbar!\n\n(Allah is the Most Great)\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/441. See also Al-Albani, Sahih At-Tirmidhi 2/103, 235, Ahmad 5/218.</text>
chapter||Upon receiving pleasant news
hadith|242|<text>The Prophet (ﷺ), upon receiving news which pleased him or which caused pleasure, would prostrate in gratitude to Allah blessed and exalted.\n\nReference:\n\nAbu Dawud, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih Ibn Majah 1/233, and 'Irwa'ul-Ghalil 2/226.</text>
chapter||When feeling some pain in the body
hadith|243|<text>Put your hand on the place where you feel pain and say: Bismillāh (three times). Then say seven times: A`ūdhu billāhi wa qudratihi min sharri mā ajidu wa uḥādhir.\n\nPut your hand on the place where you feel pain and say: With the Name of Allah (three times). Then say seven times: I seek refuge in Allah and in His Power from the evil of what I find and of what I guard against.\n\nReference:\n\nMuslim 4/1728.</text>
chapter||When in fear of afflicting something with an (evil) eye from oneself
hadith|244|<text>If you see something from your brother, yourself or wealth which you find impressing, then invoke blessings for it, for the evil eye is indeed true.\n\nReference:\n\nAhmad 4/447, Ibn Majah, Malik. Al-Albani graded it authentic in Sahihul-Jami' As-Saghir 1/212. Also see Al-Arna'ut's checking of Ibn Al-Qayyim's Zadul-Ma'ad 4/170.</text>
chapter||When startled
hadith|245|<text>Lā ilāha illallāh!\n\nThere is none worthy of worship but Allah!\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/181, Muslim 4/2208.</text>
chapter||When slaughtering or offering a sacrifice
hadith|246|<text>Bismillāh wallāhu Akbar [Allāhumma minka wa lak] Allāhumma taqabbal minnī.\n\nWith the Name of Allah, Allah is the Most Great! [O Allah, from You and to You.] O Allah, accept it from me.\n\nReference:\n\nMuslim 3/ 1557, Al-Bayhaqi 9/287.</text>
chapter||To ward off the plot of the rebellious devils
hadith|247|<text>A`ūdhu bikalimāti ‘llāhit-tāmmāti ‘llatī lā yujāwizuhunna barrun wa lā fājirun min sharri mā khalaq, wa bara'a wa dhara', wa min sharri mā yanzilu minas-samā', wa min sharri mā ya`ruju fīhā, wa min sharri mā dhara'a fi ‘l-arḍ, wa min sharri ma yakhruju minhā, wa min sharri fitani ‘llayli wannahār, wa min sharri kulli ṭāriqin illā ṭāriqan yaṭruqu bikhayr yā Rahmān.\n\nI seek refuge in the Perfect Words of Allah -which neither the upright nor the corrupt may overcome - from the evil of what He created, of what He made, and of what He scattered, from the evil of what descends from the heavens, and of what rises up to them, from the evil of what He scattered in the earth, and of what emerges from it, from the evil trials of night and day, and from the evil of every night visitor, except the night visitor who comes with good. O Merciful One.\n\nReference:\n\nAhmad 3/419, with an authentic chain of narration, and Ibn As-Sunni (no. 637). Al-Arna'ut, graded its chain authentic in his checking of Al-'Aqidah At-Tahawiyyah p. 133. See also Majma'uz-Zawa'id, 10/127.</text>
chapter||Seeking forgiveness and repentance
hadith|248|<text>--\n\nAllah's Messenger (ﷺ) said: "By Allah, I seek the forgiveness of Allah, and repent to Him more than seventy times in a day.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/101.</text>
hadith|249|<text>--\n\nAllah's Messenger (ﷺ) said: "O people, repent to Allah, for I verily repent to Him one hundred times a day.\n\nReference:\n\nMuslim 4/2076.</text>
hadith|250|<text>Allah's Messenger (ﷺ) said: Whoever says: Astaghfirullāha ‘l-'Aẓīm alladhi lā ilāha illā huwa ‘l-ḥayyul-Qayyūm wa atūbu ilayh.\n\nAllah's Messenger (ﷺ) said: Whoever says: I seek the forgiveness of Allah the Mighty, Whom there is none worthy of worship except Him, the Living, the Eternal, and I repent to Him, Allah will forgive him even if he has deserted the army's ranks.\n\nReference:\n\nAbu Dawud 2/85, At-Tirmidhi 5/569, and Al-Hakim who declared it authentic and Ath-Thahabi agreed with him 1/511. Al-Albani graded it authentic in Sahih At-Tirmidhi 3/182. See also Jami'ul-'Usool li-'Ahdaith Ar-Rasool 4/ 389-90 checked by Al-Arna'ut.</text>
hadith|251|<text>--\n\nAllah's Messenger (ﷺ) said: "The closest that the Lord comes to the slave is in the last portion of the night. So, if you are able to be among those who remember Allah in this hour, then be among them."\n\nReference:\n\nAt-Tirmidhi, An-Nasa'i 1/279 and Al-Hakim. See also Al-Albani, Sahih At-Tirmidhi 3/183, and Jdmi'ul-'Usool with Al-Arna'ut's checking 4/144.</text>
hadith|252|<text>--\n\nAllah's Messenger (ﷺ) said: "The closest that the slave comes to his Lord is when he is prostrating, so invoke Allah much (in prostration)."\n\nReference:\n\nMuslim 1/350.</text>
hadith|253|<text>--\n\nAllah's Messenger (ﷺ) said: "It is a heavy thing for my heart if I do not seek Allah's forgiveness a hundred times a day."\n\nReference:\n\nMuslim 4/2075. Ibn 'Athir explains that the Prophet (ﷺ) was always vigilant in his remembrance and drawing near to Allah, and if he forgot to do any of what he normally did from time to time, or it slipped his mind, he felt as if he had wronged himself and so he would begin to seek the forgiveness of Allah. See Jami'ul-'Usool 4/386.</text>
chapter||Excellence of Tasbih, Tahmid, Tahlil, and Takbir
hadith|254|<text>Allah's Messenger (ﷺ) said: Whoever says: Subḥānallāhi wa biḥamdihi. one hundred times a day, will have his sins forgiven even if they are like the foam of the sea.\n\nAllah's Messenger (ﷺ) said: Whoever says: Glorified is Allah and praised is He. one hundred times a day, will have his sins forgiven even if they are like the foam of the sea.\n\nReference:\n\nAl-Bukhari 7/168, Muslim 4/2071, see also invocation no. 91 of this book.</text>
hadith|255|<text>Allah's Messenger (ﷺ) said: Whoever says: Lā ilāha illallāh waḥdahu lā sharīka lah, lahu ‘l-mulku wa lahu ‘l-ḥamd wa huwa `alā kulli shay'in Qadīr. ten times, will have the reward for freeing four slaves from the Children of Isma'il.\n\nAllah's Messenger (ﷺ) said: Whoever says: None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise, and He is Able to do all things. ten times, will have the reward for freeing four slaves from the Children of Isma'il.\n\nReference:\n\nAl-Bukhari 7/67, Muslim 4/2071, see also invocation no. 93 of this book.</text>
hadith|256|<text>Allah's Messenger (ﷺ) said: Two words are light on the tongue, weigh heavily in the balance, and are loved by the Most Merciful One: Subḥānallāhi wa biḥamdih, Subḥānallāhi ‘l-`Aẓīm.\n\nAllah's Messenger (ﷺ) said: Two words are light on the tongue, weigh heavily in the balance, and are loved by the Most Merciful One: Glorified is Allah and praised is He, Glorified is Allah the Most Great.\n\nReference:\n\nAl-Bukhari 7/168, Muslim 4/2072.</text>
hadith|257|<text>Allah's Messenger (ﷺ) said: For me to say: Subḥānallāh, walḥamdu lillāh, wa lā ilāha illallāh, wallāhu 'Akbar is dearer to me than all that the sun rises upon (i.e. the whole world).\n\nAllah's Messenger (ﷺ) said: For me to say: Glory is to Allah, and praise is to Allah, and there is none worthy of worship but Allah, and Allah is the Most Great. is dearer to me than all that the sun rises upon (i.e. the whole world).\n\nReference:\n\nMuslim 4/2072.</text>
