collection||المستدرك على الصحيحين
hadith|2846|أخبرني عبد الرحمن بن الحسن القاضي بهمدان حدثنا إبراهيم بن الحسين حدثنا آدم بن أبي إياس حدثنا شعبة قال سمعت أبا إسحاق أنه سمع أبا حبيبة وأخبرنا أبو عبد الله محمد بن عبد الله الصفار حدثنا أحمد بن محمد بن عيسى القاضي حدثنا أبو نعيم وأبو حذيفة قالا حدثنا سفيان عن أبي إسحاق عن أبي حبيبة الطائي قال * أوصى إلي أخي بطائفة من ماله فلقيت أبا الدرداء فقلت إن أخي قد أوصى إلي بطائفة من ماله فأين أضعه في الفقراء أو المساكين أو المهاجرين فقال أما أنا فلو كنت لم أعدل بالمجاهدين فأني سمعت رسول الله صلى الله عليه وسلم مثل الذي يعتق عند الموت كمثل الذي يهدي إذا شبع هذا لفظ حديث الثوري هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2847|أخبرنا أبو الحسن علي بن محمد بن عقبة الشيباني بالكوفة حدثنا إبراهيم بن إسحاق القاضي وأحمد بن حازم الغفاري قالا حدثنا يعلى بن عبيد الطنافسي حدثنا محمد بن إسحاق عن بكير بن عبد الله بن الأشج عن سليمان بن يسار عن ميمونة رضي الله عنها قالت * أعتقت جارية لي فدخل علي النبي صلى الله عليه وسلم فأخبرته بعتقها فقال أما إنك لو كنت أعطيتيها أخوالك كان أعظم لأجرك هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|2848|أخبرنا أبو بكر أحمد بن سلمان الفقيه حدثنا الحسن بن مكرم البزاز حدثنا عثمان بن عمر حدثنا أبو عامر صالح بن رستم عن الحسن عن سعد مولى أبي بكر الصديق رضي الله عنه * أن رسول الله صلى الله عليه وسلم قال لأبي بكر الصديق وكان سعد مملوكا له وكان رسول الله صلى الله عليه وسلم يعجبه خدمته فقال رسول الله صلى الله عليه وسلم يا أبا بكر أعتق سعدا فقال يا رسول الله ما لنا غيره فقال رسول الله صلى الله عليه وسلم أتتك الرجال أتتك الرجال هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2849|أخبرنا أبو أحمد بكر بن محمد الصيرفي حدثنا أحمد بن محمد بن عيسى حدثنا عبد الوارث بن سعيد حدثنا سعيد بن جمهان حدثني سفينة رضي الله عنه قال قالت لي أم سلمة * رضي الله عنها أعتقك وأشترط عليك أن تخدم رسول الله صلى الله عليه وسلم ما عشت قال قلت لو إنك لم تشترط علي ما فارقت رسول الله صلى الله عليه وسلم ما عشت قال فأعتقتني واشترطت علي أن أخدم رسول الله صلى الله عليه وسلم ما عشت هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2850|حدثنا أبو عبد الله محمد بن يعقوب حدثنا علي بن الحسن الهلالي حدثنا عبد الله بن الوليد العدني حدثنا سفيان عن حبيب بن أبي ثابت عن عطاء عن عائشة رضي الله عنها قالت قال رجل * أعتق عن ابني يا رسول الله قال نعم هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|2851|حدثنا أبو علي الحسن بن علي الحافظ حدثنا محمد بن الحسن بن قتيبة وعبد الله بن محمد بن سالم قالا حدثنا إبراهيم بن محمد بن يوسف الفريابي حدثنا ضمرة بن ربيعة عن سفيان عن عبد الله بن دينار عن بن عمر رضي الله عنهما قال قال رسول الله صلى الله عليه وسلم * من ملك ذا رحم محرم فهو حر وحدثنا أبو علي بإسناده سواء أن رسول الله صلى الله عليه وسلم نهى عن بيع الولاء وعن هبته سمعت أبا علي الحافظ يقول إنما ذكرت المتن الثاني ليزور به الزهري عن ضمرة هذا حديث صحيح على شرط الشيخين ولم يخرجاه وشاهده الحديث الصحيح المحفوظ عن سمرة بن جندب
hadith|2852|أخبرنا أحمد بن جعفر القطيعي حدثنا عبد الله بن أحمد بن حنبل حدثني أبي حدثنا محمد بن بكر وأخبرنا أبو بكر بن إسحاق أنبأ أحمد بن سلمة حدثنا إسحاق بن إبراهيم الحنظلي وإسحاق بن منصور المروزي قالا حدثنا محمد بن بكر البرساني حدثنا حماد بن سلمة عن عاصم الأحول وقتادة عن الحسن عن سمرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال * من ملك ذا رحم محرم فهو حر
hadith|2853|حدثنا أبو نصر أحمد بن سهل الفقيه ببخارى حدثنا صالح بن محمد الحافظ أبو الربيع الزهراني وعثمان بن أبي شيبة وزهير بن حرب قالوا حدثنا جرير عن سهيل بن أبي صالح عن أبيه عن أبي هريرة رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * ولد الزنى شر الثلاثة قال أبو هريرة لأن أمتع بسوط في سبيل الله أحب إلي أن أعتق ولد زنية هذا حديث صحيح على شرط مسلم ولم يخرجاه وله شاهد من حديث أبي سلمة عن أبي هريرة
hadith|2854|أخبرناه أبو الحسن أحمد بن محمد العنزي حدثنا عثمان بن سعيد الدارمي حدثنا موسى بن إسماعيل حدثنا أبو عوانة عن عمر بن أبي سلمة عن أبيه عن أبي هريرة رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * ولد الزنى شر الثلاثة
hadith|2855|فحدثنا الشيخ أبو بكر أحمد بن إسحاق حدثنا محمد بن غالب حدثنا الحسن بن عمر بن شقيق حدثنا سلمة بن الفضل عن محمد بن إسحاق عن الزهري عن عروة بن الزبير قال بلغ عائشة رضي الله عنها أن أبا هريرة يقول أن رسول الله صلى الله عليه وسلم قال * لأن أمتع بسوط في سبيل الله أحب إلي من أن أعتق ولد الزنى وأن رسول الله صلى الله عليه وسلم قال ولد الزنى شر الثلاثة وأن الميت يعذب ببكاء الحي فقالت عائشة رحم الله أبا هريرة أساء سمعا فأساء إصابة أما قوله لأن أمتع بسوط في سبيل الله أحب إلي من أن أعتق ولد الزنى أنها لما نزلت فلا أقتحم العقبة وما أدراك ما العقبة قيل يا رسول الله ما عندنا ما نعتق إلا أن أحدنا له جارية سوداء تخدمه وتسعى عليه فلو أمرناهن فزنين فجئن بالأولاد فأعتقناهم فقال رسول الله صلى الله عليه وسلم لأن أمتع بسوط في سبيل الله أحب إلي من أن آمر بالزنى ثم أعتق الولد وأما قوله ولد الزنى شر الثلاثة فلم يكن الحديث على هذا إنما كان رجل من المنافقين يؤذي رسول الله صلى الله عليه وسلم فقال من يعذرني من فلان قيل يا رسول الله مع ما به ولد زنا فقال رسول الله صلى الله عليه وسلم هو شر الثلاثة والله عز وجل يقول ولا تزر وازرة وزر أخرى وأما قوله إن الميت ليعذب ببكاء الحي فلم يكن الحديث على هذا ولكن رسول الله صلى الله عليه وسلم مر بدار رجل من اليهود قد مات وأهله يبكون عليه فقال إنهم يبكون عليه وإنه ليعذب والله عز وجل يقول لا يكلف الله نفسا إلا وسعها هذا حديث صحيح على شرط مسلم ولم يخرجاه
