collection||مصنف ابن أبي شيبة
hadith|132|حدثنا يحيى بن اليمان عن سفيان عن بن شبرمة عن سعيد بن جبير قال ما بال الرجل يغسل لحيته قبل أن تنبت فإذا نبتت لم يغسلها
chapter||12 ) في مسح الرأس كم هو مرة
hadith|133|حدثنا عباد بن العوام عن حجاج عن عطاء عن عثمان بن عفان قال رأيت النبي صلى الله عليه وسلم توضأ فمسح رأسه مسحة
hadith|134|حدثنا [ حسين ] بن علي عن جعفر بن برقان عن الزهري عن حمران عن عثمان أن النبي صلى الله عليه وسلم مسح مرة
hadith|135|حدثنا حفص عن أشعث عن أبي إسحاق عمن حدثه عن علي أن النبي صلى الله عليه وسلم كان يتوضأ ثلاثا ثلاثا إلا المسح مرة مرة
hadith|136|حدثنا عبد الله بن نمير عن يحيى بن سعيد عن نافع عن بن عمر أنه كان يمسح مقدم رأسه مرة واحدة
hadith|137|حدثنا وكيع عن أسامة بن زيد عن نافع عن بن عمر كان يمسح يافوخه مرة
hadith|138|حدثنا عبد الرحيم بن سليمان عن يزيد بن أبي زياد قال دخلت على عبد الرحمن بن أبي ليلى فدعا بوضوء فتوضأ ومسح رأسه مرة وغسل قدميه ثلاثا ثلاثا قال هكذا رأيت عليا يتوضأ
hadith|139|حدثنا شريك عن سنان البجلي عن إبراهيم قال تجزي مسحة للرأس
hadith|140|حدثنا يزيد بن هارون عن أبي العلاء عن قتادة عن أنس أنه كان يمسح رأسه ثلاثا
hadith|141|حدثنا أبو معاوية عن عبد رب ( ( ( ربه ) ) ) بن أيمن قال قلت لعطاء أيجزئني أن أمسح رأسي مسحة قال نعم
hadith|142|حدثنا وكيع عن إسرائيل عن ثوير عن سعيد بن جبير قال لو كنت على شاطئ الفرات ما زدت على مسحة
hadith|143|حدثنا وكيع عن شعبة قال سألت الحكم وحمادا عن مسح الرأس فقالا مرة
hadith|144|حدثنا زيد بن الحباب عن خالد بن أبي بكر قال رأيت سالما مسح رأسه واحدة
hadith|145|حدثنا وكيع عن سفيان عن عبد الله بن محمد بن عقيل قال حدثتني الربيع قالت أتانا النبي صلى الله عليه وسلم فتوضأ ومسح برأسه مرتين
hadith|146|حدثنا أبو بكر قال حدثنا وكيع عن الربيع عن الحسن قال كان يأمر أن يمسح على الرأس مرة
hadith|147|حدثنا بن علية عن داود بن أبي الفرات عن إبراهيم الصائغ عن عطاء أنه قال يمسح الرأس مرة واحدة
hadith|148|حدثنا بن علية عن بن جريج عن عطاء أن النبي صلى الله عليه وسلم مسح رأسه مرة واحدة
hadith|149|حدثنا محمد بن عبد الله الأسدي عن إسرائيل عن عطاء بن السائب عن سعيد بن جبير وزاذان وميسرة أنهم كانوا إذا توضؤوا مسحوا رؤوسهم ثلاثا
chapter||13 ) في مسح الرأس كيف هو
hadith|150|حدثنا أبو بكر قال حدثنا حفص بن غياث عن ليث عن طلحة عن أبيه عن جده قال رأيت النبي صلى الله عليه وسلم توضأ فمسح رأسه هكذا وأمر حفص بيديه على رأسه حتى مسح قفاه
hadith|151|حدثنا سهل بن يوسف قال قلت لحميد أكان أنس بن مالك إذا مسح رأسه يقلب شعره قال لا
hadith|152|حدثنا يزيد بن هارون عن حماد بن سلمة عن هشام بن عروة عن أبيه أنه كان يمسح رأسه هكذا من مقدمة إلى مؤخره ثم رد يديه إلى مقدمه
hadith|153|حدثنا وكيع عن سفيان عن عبد الله بن محمد بن عقيل قال حدثتني الربيع قالت كان رسول الله صلى الله عليه وسلم يأتينا فيكثر قالت فوضعنا له الميضأة فأتانا فتوضأ ومسح رأسه بدأ بمؤخره ثم رد يديه على ناصيته
hadith|154|حدثنا بن علية عن أيوب عن نافع أن بن عمر كان يمسح رأسه هكذا ووضع أيوب كفه وسط رأسه ثم أمرها إلى مقدم رأسه
hadith|155|حدثنا حماد بن مسعدة عن يزيد قال كان سلمة يمسح مقدم رأسه
chapter||14 ) من قال الأذنان من الرأس
hadith|156|حدثنا وكيع بن الجراح عن بن جريج عن سليمان بن موسى قال قال النبي صلى الله عليه وسلم من توضأ فليمضمض والأذنان من الرأس
hadith|157|حدثنا عبدة بن سليمان عن سعيد عن قتادة عن سعيد بن المسيب والحسن قالا الأذنان من الرأس
hadith|158|حدثنا عبد الرحيم بن سليمان عن أشعث عن الحسن عن أبي موسى قال الأذنان من الرأس
hadith|159|حدثنا إسماعيل بن عياش عن عمرو بن مهاجر عن عمر بن عبد العزيز قال الأذنان من الرأس
hadith|160|حدثنا وكيع عن حماد بن سلمة عن علي بن زيد عن يوسف بن مهران عن بن عباس قال الأذنان من الرأس
hadith|161|حدثنا عبد الرحيم بن سليمان عن سعيد بن أبي معشر عن إبراهيم وعن قتادة عن سعيد بن المسيب والحسن قالوا الأذنان من الرأس
hadith|162|حدثنا وكيع عن إسرائيل عن جابر عن أبي جعفر قال الأذنان من الرأس
hadith|163|حدثنا [ أسامة ] عن أسامة عن هلال بن أسامة عن بن عمر قال الأذنان من الرأس
hadith|164|حدثنا عبد الرحيم بن سليمان عن محمد بن إسحاق عن نافع قال كان بن عمر يمسح أذنيه ويقول هما من الرأس
hadith|165|حدثنا وكيع عن إسماعيل بن أبي خالد عن الشعبي قال ما أقبل من الأذنين فمن الوجه وما أدبر فمن الرأس
hadith|166|حدثنا أبو بكر قال حدثنا بن علية عن بن عون عن بن سيرين قال كان يغسل أذنيه مع وجهه ويمسحهما مع رأسه
hadith|167|حدثنا أبو داود عن عبد الملك بن ميسرة عن بن سيرين قال الأذنان من الرأس
hadith|168|حدثنا عبد الحميد بن عبد الرحمن الحماني عن إسماعيل بن عبد الملك عن سعيد بن جبير قال الأذنان من الرأس
hadith|169|حدثنا أبو بكر قال حدثنا يزيد بن هارون عن الجريري عن عروة بن قبيصة عن رجل من الأنصار عن أبيه عن عثمان قال واعلموا أن الأذنين من الرأس
hadith|170|حدثنا أبو بكر قال حدثنا بن فضيل عن حصين عن إبراهيم قال سألته عن مسح الأذنين مع الرأس أو مع الوجه فقال مع كل
chapter||15 ) من كان يمسح ظاهر أذنيه وباطنهما
hadith|171|حدثنا أبو خالد الأحمر قال رأيت أنسا توضأ فجعل يمسح ظاهر أذنيه وباطنهما فنظرت إليه فقال ان بن مسعود كان يأمر بذلك
hadith|172|حدثنا عبد الله بن أدريس عن محمد بن عجلان عن زيد بن أسلم عن عطاء بن يسار عن بن عباس أن رسول الله صلى الله عليه وسلم مسح أذنيه داخلهما بالسبابتين وخالف بابهاميه إلى ظاهر أذنيه فمسح باطنهما وظاهرهما
hadith|173|حدثنا عبد الله بن نمير عن عبيد الله بن عمر عن نافع عن بن عمر أنه كان إذا توضأ أدخل الأصبعين اللتين تليان الإبهامين في أذنيه فمسح باطنهما وخالف بالإبهامين إلى ظاهرهما
hadith|174|حدثنا غندر عن شعبة عن الهيثم عن حماد عن سعيد بن جبير وإبراهيم أنهما قالا في الأذنين امسح ظاهرهما وباطنهما
hadith|175|حدثنا عبد الرحيم بن سليمان عن إسماعيل بن أبي خالد عن عثمان قال وكان من غلمة بن عمر قال وضأت بن عمر فرأيته يمسح ظاهر أذنيه
hadith|176|حدثنا بن نمير عن عبد الملك بن سلع عن عبد خير قال كنا مع علي يوما صلاة الغداة فلما انصرف دعا الغلام بالطست فتوضأ ثم أدخل اصبعيه في أذنيه ثم قال لنا هكذا رأيت رسول الله صلى الله عليه وسلم توضأ
hadith|177|حدثنا زيد بن الحباب قال حدثنا داود بن أبي الفرات عن محمد بن زيد عن إبراهيم عن الأسود بن يزيد أن عمر بن الخطاب توضأ فأدخل اصبعيه في باطن أذنيه وظاهرهما فمسحهما
chapter||16 ) في المسح على القدمين
hadith|178|حدثنا بن علية عن أيوب قال رأيت عكرمة يمسح على رجليه وكان يقول به
hadith|179|حدثنا بن علية عن يونس عن الحسن أنه كان يقول إنما هو المسح على القدمين وكان يقول يمسح ظاهرهما وباطنهما
