collection||Sahih Muslim
hadith|52f|Rapporté par Abu Huraira : J’ai entendu le Messager d’Allah ﷺ dire ceci : « L’orgueil et la vanité se trouvent chez les propriétaires de chameaux qui sont rudes, et la tranquillité se trouve chez les propriétaires de moutons et de chèvres. »
hadith|52g|Rapporté par Abu Huraira : Le même hadith a été rapporté par Zuhri avec la même chaîne de transmetteurs, avec cette précision : « La foi est chez les Yéménites, la sagesse est celle des Yéménites. »
hadith|52h|Rapporté par Abu Huraira : J’ai entendu le Prophète ﷺ dire : « Les gens du Yémen sont arrivés, ils sont doux de caractère et ont le cœur tendre. La foi est celle des Yéménites, la sagesse est celle des Yéménites, la tranquillité est chez les propriétaires de chèvres et de moutons, et l’orgueil ainsi que la vanité sont chez les propriétaires de chameaux, les gens des tentes du côté du lever du soleil. »
hadith|52i|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Les gens du Yémen sont venus, ils ont le cœur doux et sont tendres dans leurs sentiments : la foi est celle des Yéménites, la sagesse est celle des Yéménites, et le sommet de l’incroyance se trouve à l’Est. »
hadith|52j|Rapporté par Qutaiba b. Sa'id et Zubair b. Harb : Jarir a rapporté ce hadith d’après A'mash avec la même chaîne de transmetteurs (comme mentionné ci-dessus)
hadith|52k|Rapporté par Shu'ba : Il a rapporté le hadith comme l’a transmis Jarir avec la même chaîne de rapporteurs, en ajoutant : « L’orgueil et la vanité sont chez les propriétaires de chameaux, et la tranquillité et la sobriété se trouvent chez les propriétaires de moutons. »
hadith|53|Rapporté par Jabir b. Abdullah : Le Messager d’Allah ﷺ a dit : « La dureté du cœur et la sévérité se trouvent à l’Est, et la foi est chez les gens du Hijaz. »
chapter||
hadith|54a|
hadith|54b|Rapporté par Zuhair b. Harb : Jarir a rapporté d’après A'mash avec cette chaîne de transmetteurs que le Messager d’Allah ﷺ a dit : « Par Celui qui détient ma vie dans Sa main, vous n’entrerez pas au Paradis à moins de croire. » Le reste du hadith est le même que celui rapporté par Abd Mu'awiya et Waki
chapter||
hadith|55a|
hadith|55b|Rapporté par Muhammad b. Hatim et d’autres : Ils rapportent le même hadith du Prophète ﷺ d’après Tamim ad-Dari
hadith|55c|Rapporté par Umayya b. Bistam : Il rapporte le même hadith du Messager d’Allah ﷺ d’après Tamim ad-Dari
hadith|56a|
hadith|56b|Rapporté par Sufyan d’après Ziyad b. 'Ilaqa : Il a entendu Jarir b. 'Abdullah dire : J’ai prêté allégeance au Messager d’Allah ﷺ pour la sincérité et le bon conseil envers chaque musulman
hadith|56c|Rapporté par Jarir : J’ai prêté allégeance au Messager d’Allah ﷺ pour écouter et obéir (à ses ordres), et le Prophète m’a recommandé de faire ce qui était en mon pouvoir, ainsi que d’être sincère et bienveillant envers chaque musulman
chapter||
hadith|57a|
hadith|57b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit qu’un fornicateur ne commet pas la fornication, puis il a rapporté le hadith ainsi, et il a aussi mentionné le pillage, mais sans parler d’un objet ayant de la valeur. Ibn Shihab a dit : Sa’id b. al-Musayyib et Abu Salama ont rapporté ce hadith d’Abu Huraira, semblable à celui d’Abu Bakr, sauf qu’il n’y est pas question de pillage
hadith|57c|Rapporté par Abu Huraira رضي الله عنه : Muhammad b. Mihran rapporte ce hadith et mentionne le pillage, mais ne parle pas d’un objet ayant de la valeur
hadith|57d|Rapporté par Hasan b. 'Ali al-Halwani : Imam Muslim a rapporté ce hadith ainsi que d’autres traditions similaires
hadith|57e|Rapporté par Abu Huraira رضي الله عنه : Qutaiba b. Sa'id rapporte ce hadith, semblable à celui transmis par Zuhri, à cette différence que dans les versions rapportées par 'Ala' et Safwan b. Sulaim, il n’est pas mentionné : « Les gens lèvent les yeux vers lui », et dans celle rapportée par Hammam : « Les croyants lèvent les yeux vers lui », ni d’autres expressions similaires, tant qu’il pille, il n’est pas croyant. Ces paroles ont été ajoutées : « Et aucun exploiteur qui profite d’autrui n’est croyant tant qu’il continue à exploiter ; évitez donc et éloignez-vous de ces maux. »
hadith|57f|Rapporté par Abu Huraira رضي الله عنه : Un fornicateur n’est pas croyant tant qu’il commet la fornication, un voleur n’est pas croyant tant qu’il vole, et celui qui boit du vin n’est pas croyant tant qu’il en boit. Mais le repentir peut être accepté après cela
hadith|57g|Rapporté par Abu Huraira رضي الله عنه : Muhammad b. Rafi', Abdur-Razzaq, Sufyan et A'mash ont rapporté ce hadith de la même manière que Shu'ba, en le rattachant au Prophète ﷺ
chapter||
hadith|58|Rapporté par Abdullah b. 'Amr رضي الله عنه : Le Prophète ﷺ a dit : « Il y a quatre caractéristiques : celui qui les possède toutes est un hypocrite pur, et celui qui en a une possède un trait d’hypocrisie, jusqu’à ce qu’il l’abandonne : quand il parle, il ment ; quand il fait un pacte, il le trahit ; quand il promet, il ne tient pas sa promesse ; et quand il se dispute, il devient grossier. » Dans la version de Sufyan : « Et s’il en a une, il possède un trait d’hypocrisie. »
hadith|59a|
hadith|59b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : Il y a trois caractéristiques chez l’hypocrite : quand il parle, il ment ; quand il promet, il trahit ; et quand on lui fait confiance, il trahit cette confiance
hadith|59c|Rapporté par 'Uqba b. Mukarram al-'Ami : Il a entendu 'Ala' b. 'Abdur-Rahman rapporter ce hadith avec cette chaîne de transmetteurs, et il a dit : Il y a trois signes chez l’hypocrite, même s’il jeûne, prie et affirme être musulman
hadith|59d|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a tenu des propos similaires à ceux rapportés par Yahya b. Muhammad d’après 'Ala', et il a ajouté : même s’il jeûne, prie et affirme être musulman
chapter||
hadith|60a|
hadith|60b|Rapporté par Ibn 'Umar رضي الله عنه : Le Messager d’Allah ﷺ a dit : Toute personne qui dit à son frère : « Ô incroyant », cet acte d’incroyance revient à l’un d’eux. Si ce qu’il dit est vrai, alors l’incroyance est confirmée, mais si ce n’est pas le cas, cela revient à celui qui a prononcé ces paroles
chapter||
hadith|61|Rapporté par Abu Dharr رضي الله عنه : Il a entendu le Messager d’Allah ﷺ dire : Celui qui prétend sciemment qu’une autre personne est son père alors que ce n’est pas le cas commet un acte d’incroyance. Celui qui revendique ce qui ne lui appartient pas ne fait pas partie de nous ; qu’il prenne sa place en Enfer. Et celui qui traite quelqu’un d’incroyant ou d’ennemi d’Allah alors que ce n’est pas vrai, cela se retourne contre lui
hadith|62|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : Ne détestez pas vos pères ; celui qui déteste son père commet un acte d’incroyance
hadith|63a|
hadith|63b|Rapporté par Sa'd et Abu Bakra رضي الله عنهما : Chacun d’eux a dit : Mes oreilles ont entendu et ma mémoire a retenu que Muhammad ﷺ a dit : Celui qui revendique pour un autre la paternité alors qu’il sait que ce n’est pas son père, le Paradis lui est interdit
chapter||
hadith|64a|
hadith|64b|Rapporté par Abdullah رضي الله عنه : Abu Bakr b. Abu Shaiba a rapporté un hadith similaire du Prophète ﷺ d’après Abdullah
chapter||
hadith|65|Rapporté par Jarir b. 'Abdullah رضي الله عنه : Le Messager d’Allah ﷺ lui a demandé lors du pèlerinage d’Adieu de faire taire les gens, puis il a dit : Ne redevenez pas des incroyants après moi en vous frappant les uns les autres au cou
hadith|66a|
hadith|66b|Rapporté par Abdullah b. Umar رضي الله عنه : Le Prophète ﷺ a dit lors du pèlerinage d’Adieu : Malheur à vous, malheur à vous ! Ne redevenez pas des incroyants après moi en vous frappant les uns les autres au cou
hadith|66c|Rapporté par Ibn Umar رضي الله عنه : Harmala b. Yahya, Abdullah b. Wahb, Umar b. Muhammad et Ibn Umar ont rapporté un hadith similaire à celui de Shu'ba d’après Waqid
chapter||
hadith|67|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : Deux choses que l’on trouve chez les gens sont proches de l’incroyance : calomnier la lignée de quelqu’un et se lamenter sur les morts
chapter||
hadith|68|Rapporté par Jarir رضي الله عنه : Il a entendu le Prophète ﷺ dire : L’esclave qui s’enfuit de chez son maître commet un acte d’incroyance tant qu’il ne revient pas vers lui. Mansur a dit : Par Allah, ce hadith a été rapporté du Prophète ﷺ, mais je n’aime pas qu’on le rapporte en mon nom ici à Bassora
hadith|69|Rapporté par Jarir رضي الله عنه : Le Messager d’Allah ﷺ a dit : « L’esclave qui s’enfuit de chez son maître n’est plus sous la responsabilité de celui-ci. »
hadith|70|Rapporté par Jarir ibn Abdullah رضي الله عنه : Il a rapporté du Prophète ﷺ : « Quand un esclave s’enfuit de chez son maître, sa prière n’est pas acceptée. »
chapter||
hadith|71|Rapporté par Zayd ibn Khalid al-Juhani رضي الله عنه : Le Messager d’Allah ﷺ a dirigé la prière du matin à Hudaybiya. Il y avait des traces de pluie tombée pendant la nuit. À la fin de la prière, il s’est tourné vers les gens et a dit : « Savez-vous ce que votre Seigneur a dit ? » Ils ont répondu : « Allah et Son Messager savent mieux. » Le Prophète ﷺ a alors dit : « Allah a dit : Certains de Mes serviteurs se sont réveillés croyants en Moi, et d’autres non. Celui qui a dit : “Nous avons eu de la pluie par la bénédiction et la miséricorde d’Allah”, celui-là est un croyant en Moi et un mécréant envers les étoiles. Mais celui qui a dit : “Nous avons eu de la pluie grâce à telle ou telle étoile”, celui-là a mécru en Moi et a cru aux étoiles. »
hadith|72a|
hadith|72b|Rapporté par Abu Hurayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Allah n’envoie pas une bénédiction du ciel sans qu’au matin un groupe d’hommes ne la nie (comme venant d’Allah). Allah fait tomber la pluie, mais ils disent : “C’est telle ou telle étoile (qui en est la cause).” »
hadith|73|Rapporté par Ibn Abbas رضي الله عنه : Il y eut une forte pluie du vivant du Prophète ﷺ. Le Prophète ﷺ a alors dit : « Certains se sont réveillés reconnaissants, d’autres ingrats envers Allah. Ceux qui ont été reconnaissants ont dit : “C’est une bénédiction d’Allah”, et ceux qui ont été ingrats ont dit : “Telle constellation avait raison.” » C’est à ce sujet que ce verset a été révélé : « Je jure par le coucher des étoiles… » jusqu’à la fin, « et vous niez votre subsistance. »
chapter||
hadith|74a|
hadith|74b|Rapporté par Anas رضي الله عنه : Le Prophète ﷺ a dit : « Aimer les Ansar est un signe de foi, et les détester est un signe d’hypocrisie. »
hadith|75|Rapporté par Al-Bara رضي الله عنه : Le Messager d’Allah ﷺ a dit à propos des Ansar : « Seul le croyant les aime, seul l’hypocrite les déteste. Celui qui les aime aime Allah, et celui qui les déteste déteste Allah. » J’ai demandé au narrateur : « As-tu entendu ce hadith d’Al-Bara’ ? » Il a répondu : « Il me l’a rapporté. »
hadith|76|Rapporté par Abu Hurayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui croit en Allah et au Jour dernier ne garde jamais de rancune contre les Ansar. »
hadith|77|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui croit en Allah et au Jour dernier ne garde jamais de rancune contre les Ansar. »
hadith|78|Rapporté par Zirr رضي الله عنه : Ali رضي الله عنه a dit : « Par Celui qui fend la graine et crée la vie, le Prophète ﷺ m’a promis que seul un croyant m’aimera, et seul un hypocrite gardera de la rancune contre moi. »
chapter||
hadith|79a|
hadith|79b|Rapporté par Abu Tahir رضي الله عنه : Ce hadith a été rapporté par cette chaîne de transmetteurs
hadith|80a|
hadith|80b|
chapter||
hadith|81a|
hadith|81b|Rapporté par A’mash رضي الله عنه : Il a rapporté ce hadith avec la même chaîne de transmetteurs, en disant que Satan a dit : « J’ai désobéi et je suis destiné à l’Enfer. »
hadith|82a|
hadith|82b|Rapporté par Abu Zubayr رضي الله عنه : Il a entendu Jabir ibn Abdullah رضي الله عنه dire : « J’ai entendu le Messager d’Allah ﷺ dire : “Ce qui sépare l’homme du polythéisme et de la mécréance, c’est l’abandon de la prière.” »
chapter||
hadith|83|Rapporté par Abu Hurayra رضي الله عنه : Le Messager d’Allah ﷺ a été interrogé sur la meilleure des actions. Il a répondu : « La foi en Allah. » L’homme a demandé : « Et ensuite ? » Le Prophète ﷺ a répondu : « Le jihad dans le chemin d’Allah. » L’homme a demandé : « Et ensuite ? » Le Prophète ﷺ a répondu : « Un pèlerinage accepté par Allah. » Dans la version rapportée par Muhammad ibn Ja’far, il a dit : « La foi en Allah et en Son Messager. » Muhammad ibn Rafi’, Abd ibn Humaid, Abdur-Razzaq, Ma’mar et Zuhri ont rapporté un hadith semblable avec la même chaîne de transmetteurs
